ID,Museum,Artefact,Length,Width,Thickness,Photo_ID
0,NMK,1,86.2,40.9,13,
1,NMK,2,67.5,37.8,10.4,
2,NMK,3,66.1,23.5,6.7,
3,NMK,4,74.2,48.5,11.7,
4,NMK,5,59.7,27.5,9.3,
5,NMK,6,87.4,44.4,14.3,
6,NME,1,86.2,40.9,13,
7,NME,2,67.7,37.7,10.5,
8,NME,3,66.3,23,6.8,
9,NME,4,74.3,48.5,11.9,
10,NME,5,59.8,27.7,9.4,
11,NME,6,87.3,44.5,14,
12,INSAP,1,86.4,41,13.5,
13,INSAP,2,67.7,37.3,10.4,
14,INSAP,3,66.2,23.3,6.6,
15,INSAP,4,74.2,48.6,11.8,
16,INSAP,5,59.6,27.7,9.4,
17,INSAP,6,87.5,44.7,14.2,
18,IM,1,86.5,40.9,13.3,
19,IM,2,67.6,37.6,10.3,
20,IM,3,66.2,23.3,6.7,
21,IM,4,74.8,48.4,11.6,
22,IM,5,59.8,27.6,9.5,
23,IM,6,87.4,44.7,14.2,
24,MBAP,1,86,40.7,13.6,
25,MBAP,2,67.6,37.3,10.4,
26,MBAP,3,66.3,23,6.7,
27,MBAP,4,74.2,48.3,11.7,
28,MBAP,5,59.7,27.7,9.7,
29,MBAP,6,87.4,44.7,14.3,
30,MH,1,86.3,40.8,13.3,
31,MH,2,67.5,37.3,10.3,
32,MH,3,66.5,23.5,6.8,
33,MH,4,74.8,48.5,11.8,
34,MH,5,59.7,27.6,9.6,
35,MH,6,87.4,44.6,14.3,