ID,Museum,Artefact number,Length (mm),Width (mm),Thickness (mm) ,Photo number
0,INSAP,1,86.3,41.4,13.3,ER_1
1,IM,4,75.1,48.4,11.9,ER_10
2,IM,5,59.7,27.5,9.1,ER_11
3,IM,6,87.5,44.4,14.9,ER_12
4,MBAP,1,85.9,41,13.7,ER_13
5,MBAP,2,68,37.6,10.3,ER_14
6,MBAP,3,66.7,23.7,7.2,ER_15
7,MBAP,4,74.4,48.8,11.9,ER_16
8,MBAP,5,59.9,27.5,9.6,ER_17
9,MBAP,6,87.7,44.7,14.2,ER_18
10,NME,1,86.2,40.6,13.3,ER_19
11,INSAP,2,67.8,37.3,10.3,ER_2
12,NME,2,67.6,37.1,10.2,ER_20
13,NME,3,66.6,23.5,7.1,ER_21
14,NME,4,74.5,47.7,11.8,ER_22
15,NME,5,59.6,27.5,9.3,ER_23
16,NME,6,87.1,44.1,14.6,ER_24
17,NMK,1,85.8,41.1,12.9,ER_25
18,NMK,2,67.6,37.2,10.5,ER_26
19,NMK,3,66.2,23.3,6.8,ER_27
20,NMK,4,74.4,48.4,11.8,ER_28
21,NMK,5,59.7,27.8,9.3,ER_29
22,INSAP,3,65.9,23.4,6.6,ER_3
23,NMK,6,86.6,44.5,13.7,ER_30
24,MH,1,86,40.6,13.6,ER_31
25,MH,2,67.7,37.1,10.4,ER_32
26,MH,3,65.3,22.9,7.4,ER_33
27,MH,4,74.7,48.5,12.2,ER_34
28,MH,5,59.7,27.3,9.5,ER_35
29,MH,6,87.3,44.7,14.1,ER_36
30,INSAP,4,74.4,48.6,12,ER_4
31,INSAP,5,59.5,26.8,9.9,ER_5
32,INSAP,6,87.6,46,14.3,ER_6
33,IM,1,87.1,40.9,13.3,ER_7
34,IM,2,67.2,37.7,10.1,ER_8
35,IM,3,65.3,23.4,6.1,ER_9