,INSAP,IM,MBAP,NME,NMK,MH
Artefact1_Length,86.3,87.1,85.9,86.2,85.8,86
Artefact1_Width,41.4,40.9,41,40.6,41.1,40.6
Artefact1_Thickness,13.3,13.3,13.7,13.3,12.9,13.6
Artefact2_Length,67.8,67.2,68,67.6,67.6,67.7
Artefact2_Width,37.3,37.7,37.6,37.1,37.2,37.1
Artefact2_Thickness,10.3,10.1,10.3,10.2,10.5,10.4
Artefact3_Length,65.9,65.3,66.7,66.6,66.2,65.3
Artefact3_Width,23.4,23.4,23.7,23.5,23.3,22.9
Artefact3_Thickness,6.6,6.1,7.2,7.1,6.8,7.4
Artefact4_Length,74.4,75.1,74.4,74.5,74.4,74.7
Artefact4_Width,48.6,48.4,48.8,47.7,48.4,48.5
Artefact4_Thickness,12,11.9,11.9,11.8,11.8,12.2
Artefact5_Length,59.5,59.7,59.9,59.6,59.7,59.7
Artefact5_Width,26.8,27.5,27.5,27.5,27.8,27.3
Artefact5_Thickness,9.9,9.1,9.6,9.3,9.3,9.5
Artefact6_Length,87.6,87.5,87.7,87.1,86.6,87.3
Artefact6_Width,46,44.4,44.7,44.1,44.5,44.7
Artefact6_Thickness,14.3,14.9,14.2,14.6,13.7,14.1